state,x,y
Andhra Pradesh,-60,-115
Arunachal Pradesh,135,90
Assam,130,60
Bihar,40,40
Chhattisgarh,-5,-19
Goa,-125,-115
Gujarat,-167,8
Haryana,-90,90
Himachal Pradesh,-80,139
Jammu and Kashmir,-110,165
Jharkhand,30,15
Karnataka,-110,-133
Kerala,-92,-185
Madhya Pradesh,-69,5
Maharashtra,-117,-50
Manipur,150,37
Meghalaya,100,40
Mizoram,140,15
Nagaland,161,68
Odisha,37,-33
Punjab,-97,115
Rajasthan,-134,65
Sikkim,75,70
Tamil Nadu,-70,-175
Telangana,-55,-72
Tripura,105,15
Uttar Pradesh,-35,59
Uttarakhand,-50,112
West Bengal,65,5
